OVERALL_RATING,POTENTIAL,VALUE,WAGE,HEIGHT,KIT_NUMBER,WEAK_FOOT,SKILL_MOVES,RELEASE_CLAUSE,POSITION,ATTACKING,SKILL,MOVEMENT,POWER,MENTALITY,DEFENDING,GOALKEEPING,AGE,PREFERRED_FOOT_Left,PREFERRED_FOOT_Right
77,84,21.5,1.0,170,11,4,4,0.0,LM,62,76,80,67,58,44,11,24,False,True
85,88,73.5,170.0,186,10,3,5,145.2,LW,79,81,84,80,74,37,11,26,False,True
70,82,3.6,18.0,180,64,3,3,7.6,LB,58,72,74,60,63,65,11,21,True,False
83,89,53.0,73.0,193,12,3,2,111.3,CB,57,64,72,63,67,85,9,22,False,True
85,90,80.0,110.0,178,7,3,3,158.0,RW,74,79,85,72,77,67,10,22,True,False
81,87,41.5,53.0,183,77,5,5,78.9,LW,72,79,80,73,69,37,11,22,False,True
70,86,4.0,21.0,180,49,4,3,10.1,LW,59,63,83,55,56,29,11,19,False,True
82,88,46.0,44.0,171,30,3,3,87.4,RWB,63,71,90,64,70,76,11,23,False,True
63,84,1.5,1.0,191,44,3,2,4.1,ST,54,51,60,62,50,18,10,18,False,True
73,83,6.5,22.0,187,17,3,2,12.4,ST,62,60,74,71,61,22,10,20,True,False
80,89,43.5,18.0,173,30,3,3,97.9,CM,63,74,83,67,75,66,10,19,False,True
78,87,31.0,33.0,180,27,4,4,58.9,LM,71,70,88,77,62,21,10,21,True,False
81,88,52.0,86.0,178,5,4,3,109.2,CM,72,78,77,79,79,75,8,22,False,True
83,84,43.0,66.0,183,19,4,4,76.3,CAM,76,83,79,77,68,50,11,27,False,True
82,83,33.0,120.0,181,23,2,3,65.2,LB,72,79,77,75,75,81,10,28,True,False
65,86,2.2,1.0,176,39,3,3,5.9,CAM,53,64,70,54,55,48,11,18,True,False
78,78,14.0,54.0,197,27,3,2,0.0,ST,72,58,59,80,70,52,13,31,False,True
67,82,2.4,15.0,175,38,4,4,6.4,LW,66,59,66,63,50,16,11,19,False,True
84,90,67.5,165.0,171,47,3,4,138.4,LW,70,81,86,68,73,56,11,23,True,False
66,86,2.3,900.0,180,32,4,4,5.5,RM,55,68,80,50,48,46,12,18,False,True
85,91,81.5,44.0,186,22,4,4,154.9,CM,74,76,79,79,78,78,10,20,False,True
83,86,38.5,68.0,191,1,3,1,76.0,GK,24,29,57,48,39,17,83,25,False,True
82,89,61.5,120.0,187,27,3,3,126.1,ST,77,72,82,83,74,38,12,24,False,True
79,86,32.0,36.0,184,3,2,3,60.8,CB,56,61,77,62,63,81,10,21,True,False
81,87,41.5,120.0,172,21,2,5,87.2,RW,69,80,86,72,72,42,11,23,True,False
80,82,24.5,77.0,175,35,3,3,48.4,LB,72,82,75,73,76,80,13,27,True,False
85,88,74.5,86.0,185,9,4,3,132.2,ST,77,66,83,82,70,35,11,25,False,True
75,85,12.5,57.0,175,15,4,4,26.3,LM,58,70,83,63,60,47,10,22,False,True
85,85,46.0,130.0,185,5,3,3,87.4,CDM,70,79,68,82,77,82,10,30,False,True
82,89,56.0,44.0,185,4,4,3,106.4,CB,63,69,74,77,72,83,8,21,True,False
85,85,9.5,105.0,183,6,3,2,18.1,CB,65,71,64,74,73,87,9,39,False,True
83,88,49.5,115.0,178,6,3,3,97.8,CB,68,74,80,78,76,85,11,25,True,False
76,89,17.0,9.0,179,18,4,4,39.5,ST,67,63,82,71,59,29,12,19,True,False
77,87,21.0,29.0,175,28,4,3,47.3,LB,60,61,82,55,60,72,9,20,True,False
78,88,30.5,12.0,179,7,3,4,48.8,CAM,66,75,85,69,73,60,9,20,False,True
75,88,13.0,26.0,179,20,4,3,30.2,CM,65,76,77,68,71,68,11,20,False,True
87,87,27.0,72.0,187,7,4,5,45.9,ST,84,78,78,84,74,27,12,38,False,True
78,88,27.5,4.0,187,66,2,2,60.5,CB,55,56,68,61,61,80,9,20,False,True
82,86,44.0,40.0,187,12,4,4,78.1,ST,77,71,85,76,65,33,10,25,False,True
86,92,109.0,200.0,176,20,4,5,245.3,LW,71,79,90,75,65,25,8,23,False,True
75,85,12.5,43.0,179,20,4,3,26.3,RW,70,65,79,62,58,46,11,22,False,True
70,83,3.5,7.0,181,45,3,3,8.8,CDM,50,65,73,60,60,72,9,19,False,True
77,85,22.0,28.0,193,5,3,3,41.8,CB,58,57,69,64,60,78,11,22,True,False
69,85,3.3,2.0,185,43,3,3,8.2,CDM,55,64,66,57,63,68,10,19,False,True
80,85,32.0,17.0,168,10,3,4,66.4,RW,66,74,87,61,62,32,11,25,True,False
86,91,102.0,210.0,182,15,4,3,216.8,CM,74,80,82,82,79,80,9,25,False,True
82,88,49.0,85.0,178,11,3,4,102.9,LW,77,73,86,69,69,44,7,22,False,True
74,86,10.0,12.0,165,29,3,3,21.0,LM,64,65,83,68,59,26,11,20,False,True
76,84,15.5,11.0,177,5,3,3,24.8,CDM,63,68,71,71,70,74,11,22,False,True
81,83,32.5,37.0,184,15,4,3,57.7,CAM,71,80,82,67,72,55,9,27,False,True
64,84,1.5,500.0,187,18,3,2,4.1,CDM,41,50,66,64,53,62,11,18,False,True
70,87,3.8,2.0,175,82,3,2,9.4,RB,52,60,73,53,59,67,11,19,False,True
91,95,190.5,230.0,182,7,4,5,366.7,ST,83,81,93,82,75,31,9,25,False,True
78,86,31.5,14.0,177,20,3,4,50.4,CAM,67,71,86,76,70,58,9,23,True,False
74,87,10.0,16.0,176,18,5,5,25.3,CAM,59,77,76,60,60,19,9,20,True,False
79,89,38.0,84.0,178,10,4,4,85.5,LW,72,76,85,67,63,28,8,21,False,True
79,86,32.0,11.0,185,25,2,2,70.4,CB,51,51,72,65,65,81,8,22,True,False
79,80,21.0,68.0,178,22,4,4,41.5,LM,69,73,82,68,69,57,12,26,False,True
